  0.36438561E-01 -0.10252899E+02  0.13334905E+04  0.56667968E-10  0.90069025E-04 -0.89002099E+02
  0.39834836E-01 -0.10214198E+02  0.13318112E+04  0.11401636E-09  0.17451552E-03 -0.88960691E+02
  0.43549603E-01 -0.10175476E+02  0.13299744E+04  0.17210617E-09  0.25359868E-03 -0.88917247E+02
  0.47612910E-01 -0.10136736E+02  0.13279653E+04  0.23100514E-09  0.32756724E-03 -0.88871679E+02
  0.52057657E-01 -0.10097976E+02  0.13257676E+04  0.29078839E-09  0.39665988E-03 -0.88823897E+02
  0.56919869E-01 -0.10059197E+02  0.13233634E+04  0.35153713E-09  0.46110558E-03 -0.88773803E+02
  0.62238993E-01 -0.10020398E+02  0.13207334E+04  0.41334007E-09  0.52184572E-03 -0.88721301E+02
  0.68058226E-01 -0.99815801E+01  0.37425914E+03  0.47629576E-09  0.58487661E-03 -0.88666296E+02
  0.74424872E-01 -0.99427426E+01  0.28049505E+03  0.54051215E-09  0.64527179E-03 -0.88608693E+02
  0.81390738E-01 -0.99038857E+01  0.24344816E+03  0.60610520E-09  0.70310759E-03 -0.88548396E+02
  0.81390738E-01 -0.99038857E+01  0.24344816E+03  0.60610520E-09  0.70310759E-03 -0.88548396E+02
  0.89012564E-01 -0.98650094E+01  0.21994375E+03  0.67320451E-09  0.75845848E-03 -0.88485311E+02
  0.97352491E-01 -0.98261136E+01  0.20233586E+03  0.74195135E-09  0.81139704E-03 -0.88419351E+02
  0.10647859E+00 -0.97871984E+01  0.18942797E+03  0.81250027E-09  0.86199409E-03 -0.88350428E+02
  0.11646540E+00 -0.97482637E+01  0.17887338E+03  0.88502080E-09  0.91031865E-03 -0.88278461E+02
  0.12739461E+00 -0.97093096E+01  0.16924618E+03  0.95970031E-09  0.95643805E-03 -0.88203377E+02
  0.13935568E+00 -0.96703360E+01  0.16141146E+03  0.10367427E-08  0.10004179E-02 -0.88125109E+02
  0.15244661E+00 -0.96313429E+01  0.15518903E+03  0.11163720E-08  0.10423222E-02 -0.88043598E+02
  0.16677478E+00 -0.95923303E+01  0.14945991E+03  0.11988342E-08  0.10822132E-02 -0.87958797E+02
